区  县,级别,学  校  名  称,addresss,Latitude,Longitude,邮编,备   注
海淀,5,北京市中关村外国语学校,北京市海淀区西三旗东路,39.60886,116.25528,100096,
海淀,5,北京市海淀北部新区实验中学,北京市海淀区苏家坨镇西小营村,40.07424,116.15382,100095,
海淀,3,北京市翠微中学,北京市海淀区翠微路1号,39.91338,116.30188,100036,
海淀,3,北京市立新学校,北京市海淀区阜成路甲3号,39.92391,116.30545,100037,
海淀,4,北京市太平路中学,北京市海淀区太平路8号,39.90009,116.28026,100039,
海淀,3,北京市北外附属外国语学校,北京市海淀区西二旗大街19号,40.05702,116.32058,100085,
海淀,4,北京市永定路中学,北京市海淀区金沟河13号,39.916256,116.275002,100039,
海淀,4,北京市明光中学,北京市海淀区学院南路1号,39.95819,116.36043,100088,
海淀,4,海淀区教师进修学校附属实验学校,北京市海淀区远大路34号,39.95651,116.27801,100089,
海淀,5,北京市海淀区师达中学,北京市海淀区闵庄路70号,39.97066,116.22756,100093,
海淀,4,北京世贤学院附属中学,北京市海淀区二里庄小区24号,39.994136,116.3697857,100083,
海淀,3,首都师范大学附属育新学校,北京市海淀区西三旗育新花园34号,40.05796,116.34592,100096,
海淀,5,北京市万泉河中学,北京市海淀区海淀操场乙73号,39.915773,116.4230963,100080,
海淀,4,北京市知春里中学,北京市海淀区知春东里12号楼,39.972144,116.325625,100086,
海淀,2,北京市中关村中学,海淀区科学院南路甲14号中关村中学,39.971916,116.321246,100086,
海淀,4,北京市第六十七中学,北京市海淀区厢红旗东门外甲3号,40.00368,116.25465,100091,
海淀,2,北京市第二十中学,北京市海淀区清河小营西路11号院,40.03845,116.33834,100085,
海淀,6,北京市北达资源中学,北京市海淀区北京大学畅春园,39.994494,116.304892,100080,
海淀,3,中国地质大学附属中学,北京市海淀区成府路20号,39.99296,116.34329,100083,
海淀,3,北师大第三附属实验学校,北京市海淀区北三环中路甲36号,39.96811,116.37486,100088,
海淀,3,北京医学院附属中学,北京市海淀区花园北路40号,39.98152,116.36305,100083,
海淀,6,北京市六一中学,北京市海淀区定慧西里十七号,39.923876,116.3026316,100036,
海淀,3,中央民族大学附属中学,北京市海淀区法华寺甲5号,39.8969729,116.3054251,100081,
海淀,3,北京市钢铁学院附属中学,北京市海淀区志新路36号,39.99338,116.3622,100083,
